Task_ID,Start_Time_ISO,Elapsed_Min,TTFT_s,TPS,Tokens,Duration_s,Temp_End_C,Freq_End_MHz,Mem_Peak_MB,Throttled_Flag,Success
0,2026-03-23T00:42:59.706611,1.6249,18.947,7.45,585,97.493,60.05,2400.0,1838.6,0,True
1,2026-03-23T00:44:51.303732,3.4849,0.435,7.14,793,111.533,68.30,2400.0,1835.9,0,True
2,2026-03-23T00:46:03.782570,4.6929,0.441,7.27,523,72.415,74.90,2400.0,1824.9,0,True
3,2026-03-23T00:47:32.420417,6.1701,0.447,7.34,647,88.573,79.30,2400.0,1828.6,0,True
4,2026-03-23T00:48:57.994220,7.5964,0.444,7.11,605,85.503,83.15,2256.0,1828.1,1,True
5,2026-03-23T00:50:30.447505,9.1373,0.448,6.86,631,92.389,84.25,2146.0,1831.8,1,True
6,2026-03-23T00:52:25.219425,11.0501,0.453,6.42,733,114.707,85.35,1500.0,1833.1,1,True
7,2026-03-23T00:54:14.177377,12.8661,0.462,6.41,695,108.892,84.25,2146.0,1827.8,1,True
8,2026-03-23T00:55:49.242315,14.4505,0.468,6.69,632,94.998,84.80,2256.0,1835.5,1,True
9,2026-03-23T00:57:15.290496,15.8846,0.486,6.69,572,85.984,84.25,2146.0,1827.8,1,True
